Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-04-23,72521.5859375,73770.30198675496,72521.5859375,73386.08166390729,18717699
2024-04-24,75499.3046875,75691.41487754454,74154.5333571883,74442.6986422551,22166150
2024-04-25,73290.015625,74442.67642119921,73290.015625,74250.56628849935,15549134
2024-04-26,73674.2578125,74826.91895167861,73482.1476226369,74730.86385674706,12755629
2024-04-29,73674.2578125,74538.75366688396,73193.98233784224,74346.64347702086,14664474
2024-04-30,74442.6953125,75403.24621975806,73578.19949596774,73962.41985887097,19007007
2024-05-02,74922.9765625,75499.3071514423,74250.59087540064,74538.75616987179,18900640
2024-05-03,74538.7578125,75883.52921633377,74442.70271222616,75883.52921633377,13151889
2024-05-07,78092.78125,78092.78125,76267.73470172202,76459.84486469865,26238868
2024-05-08,78092.78125,78188.83633148832,77324.34059809348,77612.50584255843,13089576
2024-05-09,76555.90625,78284.89785915935,76555.90625,77900.67750156838,18759935
2024-05-10,76075.6328125,77900.67955926452,75787.46753669507,77228.2939157197,16976124
2024-05-13,75307.1953125,76748.02175342794,74538.7545440051,76267.74627311862,18652344
2024-05-14,75211.1328125,75691.40824553001,74826.91246607598,75499.29807231801,11763992
2024-05-16,75115.078125,77132.23495444373,75019.02303788363,77036.17986732737,20989778
2024-05-17,74346.6328125,75691.4039486434,74154.5226501938,75499.2937863372,15918201
2024-05-20,75787.46875,75979.5789369455,74826.91781527249,75019.028002218,19456783
2024-05-21,75307.1953125,75883.52588887117,75115.08512037627,75403.25040856186,13690583
2024-05-22,74634.8046875,75595.35558437902,74250.58432874839,75019.02504625161,19521506
2024-05-23,75211.1328125,75979.57350534802,74058.47177322797,74634.80229286398,18728087
2024-05-24,72905.8046875,73962.41055253622,72713.69453022069,73770.30039525691,27891278
2024-05-27,74154.53125,75115.08217292746,71080.76829663213,72329.48449643783,43825202
2024-05-28,74538.7578125,74922.97821359536,73193.98640866624,73482.15170948776,18539072
2024-05-29,72233.421875,75115.07434341755,72233.421875,74634.79893201463,30244875
2024-05-30,70600.4921875,72233.42874149661,70600.4921875,71849.20837585034,28551273
2024-05-31,70600.4921875,71753.15328443878,70600.4921875,71561.04310161565,26198776
2024-06-03,72713.703125,73386.08875495377,71272.87677509908,71464.98695508587,15706268
2024-06-04,72329.4765625,73097.91721655047,71945.25623547476,71945.25623547476,14098053
2024-06-05,74346.6328125,74922.96329941861,73770.30232558139,74922.96329941861,23177968
2024-06-07,74250.5859375,75499.30213049806,74058.47575396184,75307.1919469599,21189349
2024-06-10,72713.703125,73578.19893494056,72617.64803500661,73097.92348497358,14598755
2024-06-11,72233.421875,73001.86253324468,72137.36679271942,72905.80745096409,16971175
